filename,soil_type,condition,RGB,HSV,LAB
Nursery_Growing Well.jpg,Laterite Soil,Good,"R:110.0, G:120.9, B:102.33","H:74.75, S:61.81, V:126.46","L:123.54, A:121.48, B:135.79"
Nursery_Growing Well_rooting.jpg,Laterite Soil,Wet,"R:104.83, G:102.35, B:86.89","H:70.36, S:65.97, V:114.05","L:107.44, A:127.15, B:136.26"
Nursery_Growing Well_after 1 week.jpg,Red Soil,Good,"R:121.04, G:107.76, B:90.34","H:30.12, S:80.85, V:124.26","L:115.61, A:130.84, B:139.51"
vanila_image 1 (1).jpg,Black Soil,Good,"R:121.96, G:110.1, B:98.0","H:57.83, S:50.52, V:125.0","L:118.54, A:130.98, B:136.07"
Nursery_Growing Well_budding.jpg,Black Soil,Wet,"R:94.16, G:87.64, B:73.42","H:41.97, S:75.5, V:98.49","L:91.99, A:128.62, B:136.64"
Nursery_Growing Well_budding_01.jpg,Laterite Soil,Wet,"R:94.38, G:92.21, B:93.16","H:81.78, S:75.17, V:107.88","L:97.93, A:130.07, B:127.79"
Nursery_Growing Well_rooting_01.jpg,Laterite Soil,Good,"R:113.34, G:116.41, B:105.75","H:74.7, S:78.54, V:133.37","L:121.25, A:126.01, B:132.84"
Nursery_Growing Well_rooting_02.jpg,Black Soil,Wet,"R:107.83, G:107.99, B:78.7","H:34.77, S:85.61, V:118.25","L:111.55, A:123.96, B:143.34"
vanila_image 1 (7).jpeg,Laterite Soil,Good,"R:118.42, G:116.56, B:111.26","H:100.91, S:41.7, V:125.82","L:122.34, A:128.29, B:130.89"
vanila_image 1 (15).jpeg,Black Soil,Wet,"R:96.43, G:101.32, B:88.25","H:59.23, S:64.07, V:107.08","L:104.76, A:124.49, B:134.01"
vanila_image 1 (4).jpeg,Laterite Soil,Good,"R:130.88, G:124.74, B:123.63","H:70.28, S:55.5, V:142.35","L:133.91, A:130.27, B:130.09"
vanila_image 1 (11).jpeg,Laterite Soil,Good,"R:114.59, G:114.98, B:89.81","H:40.48, S:78.75, V:125.58","L:119.84, A:124.41, B:141.72"
vanila_image 1 (16).jpeg,Black Soil,Good,"R:103.56, G:114.27, B:106.37","H:71.15, S:64.94, V:122.21","L:117.45, A:123.35, B:130.73"
vanila_image 1 (2).jpg,Laterite Soil,Good,"R:119.05, G:110.68, B:95.06","H:40.43, S:59.79, V:121.23","L:116.8, A:129.16, B:137.44"
vanila_image 1 (14).jpeg,Laterite Soil,Good,"R:112.2, G:119.17, B:107.62","H:64.05, S:69.24, V:128.09","L:122.63, A:124.26, B:133.3"
vanila_image 1 (6).jpeg,Laterite Soil,Good,"R:118.89, G:129.12, B:111.02","H:84.78, S:55.86, V:135.02","L:131.75, A:121.63, B:136.05"
vanila_image 1 (10).jpeg,Black Soil,Wet,"R:98.25, G:100.17, B:90.61","H:67.4, S:48.56, V:105.25","L:104.58, A:125.99, B:132.44"
vanila_image 1 (12).jpeg,Laterite Soil,Good,"R:108.6, G:116.02, B:98.92","H:78.29, S:57.52, V:121.73","L:119.19, A:122.9, B:135.61"
vanila_image 1 (13).jpeg,Laterite Soil,Good,"R:116.37, G:115.63, B:110.06","H:69.4, S:58.98, V:127.07","L:121.47, A:128.11, B:130.76"
vanila_image 1 (5).jpeg,Black Soil,Good,"R:130.9, G:123.94, B:117.82","H:99.12, S:46.39, V:136.1","L:131.28, A:130.12, B:132.06"
